AFRICAN RENAISSANCE,13
ALPHENPARK,3
ALPHENPARK,6
AMANDASIG,3
"AMANDASIG extension 10, 12, 16, 19, 2, 20, 21, 23, 24, 25, 31, 33, 36, 37, 38, 40, 41, 42, 43, 44, 45, 5, 50, 51, 52, 57, 58, 69, 7",3
ANDEON,10
"ANDEON extension 1, 14, 15, 20, 22, 24, 28, 5",10
ANNLIN,16
"ANNLIN extension 1, 105, 106, 107, 108, 109, 110, 111, 112, 114, 115, 117, 13, 132, 138, 15, 19, 2, 23, 24, 27, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 4, 5, 50, 52, 53, 54, 56, 57, 58, 59, 6, 61, 63, 67, 7, 71, 8, 81, 87, 91, 93",16
"ANNLIN-WES extension 12, 19, 21, 23, 40",11
"ANNLIN-WES extension 13, 3, 41, 43, 46, 7",16
ARCADIA extension 0,3
"ARCADIA extension 0, 7, 8",3
ASANTE VILLAGE,10
ASHLEA GARDENS,3
"ASHLEA GARDENS extension 2, 6",3
"ATTERIDGEVILLE extension 0, 16, 17, 18, 3, 4, 5, 6, 7",15
"ATTERIDGEVILLE extension 0, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 40, 41, 42, 45",15
BEAU RIVAGE,5
BELLEVUE,15
BERGTUIN,8
"BOARDWALK extension 1, 10, 15, 2, 21, 4, 5, 7, 9",2
"BOARDWALK extension 11, 12, 13, 16, 18, 20, 22, 25, 29, 3, 30, 31, 35",2
BOARDWALK MANOR,2
BOARDWALK MEANDER,2
BOARDWALK VILLAS,2
"BOARDWALK VILLAS extension 1, 2, 3, 4",2
BOOYSENS,10
BOOYSENS extension 1,10
BRONBERG,2
BRONBERG CLOSE,2
"BRONBERG CLOSE extension 1, 2, 3, 5, 6",2
"BRONBERG extension 1, 10, 14, 17, 18, 2, 22, 6, 7, 8",2
"BRONBERG extension 12, 19, 4",2
BRONBERRIK,14
"BRONKHORSTSPRUIT extension 1, 2, 6",5
BROOKLYN,6
BRUMMERIA,13
"BRUMMERIA extension 1, 12, 13, 14, 16, 17, 18, 2, 3, 4, 7, 8",13
BRYNTIRION,6
CAMEL VALLEY,2
CARDINAL,2
CELTISDAL,14
"CELTISDAL extension 11, 13, 15, 19, 20, 23, 29, 3, 33, 39, 4, 42, 48, 55, 57, 61, 7, 8",14
"CELTISDAL extension 25, 26, 28, 30, 34, 44, 56",13
CHANTELLE,3
"CHANTELLE extension 1, 13, 14, 16, 2, 22, 23, 24, 25, 26, 27, 28, 3, 30, 31, 39, 4, 40, 41, 42, 6, 8",3
CHRISTOBURG,7
CLAREMONT,10
CLAREMONT extension 2,10
"CLARINA extension 1, 19, 21, 22, 25, 26, 27, 28, 29, 3, 30, 32, 35, 37, 38, 6",10
CLAUDIUS,7
CLAUDIUS extension 1,7
CLUBVIEW,7
"CLUBVIEW extension 1, 10, 100, 102, 105, 108, 12, 2, 24, 26, 27, 31, 33, 34, 39, 4, 40, 41, 45, 47, 48, 5, 51, 54, 55, 56, 57, 58, 6, 61, 62, 63, 7, 72, 75, 77, 78, 8, 80, 87, 90, 92, 94, 98, 99",7
COLBYN,6
"COLBYN extension 1, 2",6
CONSTANTIA PARK,3
"CONSTANTIA PARK extension 1, 2, 3",3
COUNTRY VIEW ESTATE,2
COUNTRY VIEW ESTATE extension 1,2
CRANBROOKVALE,14
CULTURA PARK extension 11,5
DANVILLE,6
"DANVILLE extension 1, 10, 11, 12, 13, 14, 15, 2, 3, 5, 8, 9",6
DANVILLE extension 2,14
DE BEERS,3
DEERNESS,6
DERDEPOORT,8
DERDEPOORT extension 3,8
"DERDEPOORTPARK extension 11, 2, 3",8
DESPATCH,15
DIE HOEWES extension 144,11
"DIE HOEWES extension 285, 286, 287, 6, 85, 93",7
DIE WILGERS,13
"DIE WILGERS extension 1, 11, 13, 14, 15, 16, 17, 19, 23, 25, 28, 30, 36, 41, 43, 44, 47, 49, 50, 51, 52, 53, 54, 57, 60, 62, 64, 65, 66, 68, 69, 70, 71, 79, 82, 83, 9",13
DOORNPOORT,16
"DOORNPOORT extension 1, 6",16
"DOORNPOORT extension 29, 31, 32, 33, 34, 35, 38, 40, 41, 42",12
DORANDIA,10
"DORANDIA extension 1, 10, 11, 13, 15, 16, 2, 3, 4, 5, 6, 7, 8, 9",10
DORINGKLOOF,11
DORINGKLOOF extension 1,11
EAGLES LANDING,10
EAST LYNNE,8
"EAST LYNNE extension 1, 2, 5",8
EERSTERUST,15
"EERSTERUST extension 2, 3, 4, 5, 6",15
EKANDUSTRIA,5
EKKLESIA,8
"EKKLESIA extension 1, 2, 3, 5",8
ELANDSPOORT,6
ELARDUS PARK,8
"ELARDUS PARK extension 1, 11, 14, 15, 18, 2, 20, 22, 26, 27, 28, 3, 4, 5, 6, 7, 9",8
ELDORAIGNE,14
